"time","Presens_data.O2_value","position"
"2021-09-15T15:24:25.000Z","0","0"
"2021-09-15T15:24:25.000Z","0","1"
"2021-09-15T15:24:25.000Z","0","10"
"2021-09-15T15:24:25.000Z","0","11"
"2021-09-15T15:24:25.000Z","0","12"
"2021-09-15T15:24:25.000Z","0","13"
"2021-09-15T15:24:25.000Z","0","14"
"2021-09-15T15:24:25.000Z","0","15"
"2021-09-15T15:24:25.000Z","0","16"
"2021-09-15T15:24:25.000Z","0","17"
"2021-09-15T15:24:25.000Z","0","18"
"2021-09-15T15:24:25.000Z","0","19"
"2021-09-15T15:24:25.000Z","0","2"
"2021-09-15T15:24:25.000Z","0","20"
"2021-09-15T15:24:25.000Z","0","21"
"2021-09-15T15:24:25.000Z","0","22"
"2021-09-15T15:24:25.000Z","0","23"
"2021-09-15T15:24:25.000Z","0.14","24"
"2021-09-15T15:24:25.000Z","0.77","25"
"2021-09-15T15:24:25.000Z","0","26"
"2021-09-15T15:24:25.000Z","0.04","27"
"2021-09-15T15:24:25.000Z","0","28"
"2021-09-15T15:24:25.000Z","0","29"
"2021-09-15T15:24:25.000Z","0","3"
"2021-09-15T15:24:25.000Z","0.03","30"
"2021-09-15T15:24:25.000Z","0","31"
"2021-09-15T15:24:25.000Z","0","32"
"2021-09-15T15:24:25.000Z","1.06","33"
"2021-09-15T15:24:25.000Z","0.01","34"
"2021-09-15T15:24:25.000Z","1.38","35"
"2021-09-15T15:24:25.000Z","0.17","36"
"2021-09-15T15:24:25.000Z","0.68","37"
"2021-09-15T15:24:25.000Z","0.93","38"
"2021-09-15T15:24:25.000Z","0","39"
"2021-09-15T15:24:25.000Z","0","4"
"2021-09-15T15:24:25.000Z","4.51","40"
"2021-09-15T15:24:25.000Z","5.34","41"
"2021-09-15T15:24:25.000Z","5.1","42"
"2021-09-15T15:24:25.000Z","3.84","43"
"2021-09-15T15:24:25.000Z","5.22","44"
"2021-09-15T15:24:25.000Z","3.69","45"
"2021-09-15T15:24:25.000Z","4.65","46"
"2021-09-15T15:24:25.000Z","0","47"
"2021-09-15T15:24:25.000Z","0","5"
"2021-09-15T15:24:25.000Z","0","6"
"2021-09-15T15:24:25.000Z","0","7"
"2021-09-15T15:24:25.000Z","0","8"
"2021-09-15T15:24:25.000Z","0","9"
"2021-09-15T15:25:25.000Z","0","0"
"2021-09-15T15:25:25.000Z","0","1"
"2021-09-15T15:25:25.000Z","0","10"
"2021-09-15T15:25:25.000Z","0","11"
"2021-09-15T15:25:25.000Z","0","12"
"2021-09-15T15:25:25.000Z","0","13"
"2021-09-15T15:25:25.000Z","0","14"
"2021-09-15T15:25:25.000Z","0","15"
"2021-09-15T15:25:25.000Z","0","16"
"2021-09-15T15:25:25.000Z","0","17"
"2021-09-15T15:25:25.000Z","0","18"
"2021-09-15T15:25:25.000Z","0","19"
"2021-09-15T15:25:25.000Z","0","2"
"2021-09-15T15:25:25.000Z","0","20"
"2021-09-15T15:25:25.000Z","0","21"
"2021-09-15T15:25:25.000Z","0","22"
"2021-09-15T15:25:25.000Z","0","23"
"2021-09-15T15:25:25.000Z","0","24"
"2021-09-15T15:25:25.000Z","0.48","25"
"2021-09-15T15:25:25.000Z","0","26"
"2021-09-15T15:25:25.000Z","0","27"
"2021-09-15T15:25:25.000Z","0","28"
"2021-09-15T15:25:25.000Z","0","29"
"2021-09-15T15:25:25.000Z","0","3"
"2021-09-15T15:25:25.000Z","0","30"
"2021-09-15T15:25:25.000Z","0","31"
"2021-09-15T15:25:25.000Z","0","32"
"2021-09-15T15:25:25.000Z","0.65","33"
"2021-09-15T15:25:25.000Z","0","34"
"2021-09-15T15:25:25.000Z","0.91","35"
"2021-09-15T15:25:25.000Z","0","36"
"2021-09-15T15:25:25.000Z","0.27","37"
"2021-09-15T15:25:25.000Z","0.51","38"
"2021-09-15T15:25:25.000Z","0.48","39"
"2021-09-15T15:25:25.000Z","0","4"
"2021-09-15T15:25:25.000Z","3.14","40"
"2021-09-15T15:25:25.000Z","3.94","41"
"2021-09-15T15:25:25.000Z","3.59","42"
"2021-09-15T15:25:25.000Z","2.56","43"
"2021-09-15T15:25:25.000Z","3.82","44"
"2021-09-15T15:25:25.000Z","2.42","45"
"2021-09-15T15:25:25.000Z","3.36","46"
"2021-09-15T15:25:25.000Z","3.59","47"
"2021-09-15T15:25:25.000Z","0","5"
"2021-09-15T15:25:25.000Z","0","6"
"2021-09-15T15:25:25.000Z","0","7"
"2021-09-15T15:25:25.000Z","0","8"
"2021-09-15T15:25:25.000Z","0","9"
"2021-09-15T15:26:25.000Z","10.4","0"
"2021-09-15T15:26:25.000Z","5.24","1"
"2021-09-15T15:26:25.000Z","1.05","10"
"2021-09-15T15:26:25.000Z","1.75","11"
"2021-09-15T15:26:25.000Z","0","12"
"2021-09-15T15:26:25.000Z","0","13"
"2021-09-15T15:26:25.000Z","0","14"
"2021-09-15T15:26:25.000Z","0","15"
"2021-09-15T15:26:25.000Z","10.39","16"
"2021-09-15T15:26:25.000Z","8.22","17"
"2021-09-15T15:26:25.000Z","5.21","18"
"2021-09-15T15:26:25.000Z","2.45","19"
"2021-09-15T15:26:25.000Z","3.26","2"
"2021-09-15T15:26:25.000Z","1.07","20"
"2021-09-15T15:26:25.000Z","0.14","21"
"2021-09-15T15:26:25.000Z","0","22"
"2021-09-15T15:26:25.000Z","0","23"
"2021-09-15T15:26:25.000Z","10.39","24"
