"time","Position","Readerdata.Value"
"2021-09-15T15:37:38.000Z","A1","1.071"
"2021-09-15T15:37:38.000Z","A10","0.201"
"2021-09-15T15:37:38.000Z","A11","0.22"
"2021-09-15T15:37:38.000Z","A12","0.193"
"2021-09-15T15:37:38.000Z","A2","1.103"
"2021-09-15T15:37:38.000Z","A3","1.133"
"2021-09-15T15:37:38.000Z","A4","1.097"
"2021-09-15T15:37:38.000Z","A5","1.218"
"2021-09-15T15:37:38.000Z","A6","1.096"
"2021-09-15T15:37:38.000Z","A7","0.197"
"2021-09-15T15:37:38.000Z","A8","0.192"
"2021-09-15T15:37:38.000Z","A9","0.191"
"2021-09-15T15:37:38.000Z","B1","1.168"
"2021-09-15T15:37:38.000Z","B10","0.198"
"2021-09-15T15:37:38.000Z","B11","0.221"
"2021-09-15T15:37:38.000Z","B12","0.195"
"2021-09-15T15:37:38.000Z","B2","1.168"
"2021-09-15T15:37:38.000Z","B3","1.143"
"2021-09-15T15:37:38.000Z","B4","1.148"
"2021-09-15T15:37:38.000Z","B5","1.22"
"2021-09-15T15:37:38.000Z","B6","1.132"
"2021-09-15T15:37:38.000Z","B7","0.211"
"2021-09-15T15:37:38.000Z","B8","0.203"
"2021-09-15T15:37:38.000Z","B9","0.227"
"2021-09-15T15:37:38.000Z","C1","1.142"
"2021-09-15T15:37:38.000Z","C10","0.208"
"2021-09-15T15:37:38.000Z","C11","0.225"
"2021-09-15T15:37:38.000Z","C12","0.192"
"2021-09-15T15:37:38.000Z","C2","1.153"
"2021-09-15T15:37:38.000Z","C3","1.152"
"2021-09-15T15:37:38.000Z","C4","1.129"
"2021-09-15T15:37:38.000Z","C5","1.236"
"2021-09-15T15:37:38.000Z","C6","1.13"
"2021-09-15T15:37:38.000Z","C7","0.24"
"2021-09-15T15:37:38.000Z","C8","0.214"
"2021-09-15T15:37:38.000Z","C9","0.207"
"2021-09-15T15:37:38.000Z","D1","1.138"
"2021-09-15T15:37:38.000Z","D10","0.192"
"2021-09-15T15:37:38.000Z","D11","0.192"
"2021-09-15T15:37:38.000Z","D12","0.192"
"2021-09-15T15:37:38.000Z","D2","1.146"
"2021-09-15T15:37:38.000Z","D3","1.147"
"2021-09-15T15:37:38.000Z","D4","1.118"
"2021-09-15T15:37:38.000Z","D5","1.094"
"2021-09-15T15:37:38.000Z","D6","1.125"
"2021-09-15T15:37:38.000Z","D7","0.223"
"2021-09-15T15:37:38.000Z","D8","0.196"
"2021-09-15T15:37:38.000Z","D9","0.218"
"2021-09-15T15:37:38.000Z","E1","1.118"
"2021-09-15T15:37:38.000Z","E10","0.207"
"2021-09-15T15:37:38.000Z","E11","0.197"
"2021-09-15T15:37:38.000Z","E12","0.2"
"2021-09-15T15:37:38.000Z","E2","1.195"
"2021-09-15T15:37:38.000Z","E3","1.154"
"2021-09-15T15:37:38.000Z","E4","1.146"
"2021-09-15T15:37:38.000Z","E5","1.145"
"2021-09-15T15:37:38.000Z","E6","1.13"
"2021-09-15T15:37:38.000Z","E7","0.246"
"2021-09-15T15:37:38.000Z","E8","0.239"
"2021-09-15T15:37:38.000Z","E9","0.204"
"2021-09-15T15:37:38.000Z","F1","1.09"
"2021-09-15T15:37:38.000Z","F10","0.208"
"2021-09-15T15:37:38.000Z","F11","0.186"
"2021-09-15T15:37:38.000Z","F12","0.208"
"2021-09-15T15:37:38.000Z","F2","1.176"
"2021-09-15T15:37:38.000Z","F3","1.129"
"2021-09-15T15:37:38.000Z","F4","1.17"
"2021-09-15T15:37:38.000Z","F5","1.116"
"2021-09-15T15:37:38.000Z","F6","1.112"
"2021-09-15T15:37:38.000Z","F7","0.195"
"2021-09-15T15:37:38.000Z","F8","0.202"
"2021-09-15T15:37:38.000Z","F9","0.22"
"2021-09-15T15:37:38.000Z","G1","1.125"
"2021-09-15T15:37:38.000Z","G10","0.203"
"2021-09-15T15:37:38.000Z","G11","0.202"
"2021-09-15T15:37:38.000Z","G12","0.19"
"2021-09-15T15:37:38.000Z","G2","1.188"
"2021-09-15T15:37:38.000Z","G3","1.169"
"2021-09-15T15:37:38.000Z","G4","1.141"
"2021-09-15T15:37:38.000Z","G5","1.137"
"2021-09-15T15:37:38.000Z","G6","1.105"
"2021-09-15T15:37:38.000Z","G7","0.207"
"2021-09-15T15:37:38.000Z","G8","0.221"
"2021-09-15T15:37:38.000Z","G9","0.222"
"2021-09-15T15:37:38.000Z","H1","1.155"
"2021-09-15T15:37:38.000Z","H10","0.217"
"2021-09-15T15:37:38.000Z","H11","0.192"
"2021-09-15T15:37:38.000Z","H12","0.18"
"2021-09-15T15:37:38.000Z","H2","1.155"
"2021-09-15T15:37:38.000Z","H3","1.114"
"2021-09-15T15:37:38.000Z","H4","1.124"
"2021-09-15T15:37:38.000Z","H5","1.088"
"2021-09-15T15:37:38.000Z","H6","1.102"
"2021-09-15T15:37:38.000Z","H7","0.216"
"2021-09-15T15:37:38.000Z","H8","0.197"
"2021-09-15T15:37:38.000Z","H9","0.181"
"2021-09-15T16:49:51.000Z","A1","1.12"
"2021-09-15T16:49:51.000Z","A10","0.194"
"2021-09-15T16:49:51.000Z","A11","0.213"
"2021-09-15T16:49:51.000Z","A12","0.216"
"2021-09-15T16:49:51.000Z","A2","1.1"
"2021-09-15T16:49:51.000Z","A3","1.144"
"2021-09-15T16:49:51.000Z","A4","1.113"
"2021-09-15T16:49:51.000Z","A5","1.074"
"2021-09-15T16:49:51.000Z","A6","1.189"
"2021-09-15T16:49:51.000Z","A7","0.191"
"2021-09-15T16:49:51.000Z","A8","0.193"
"2021-09-15T16:49:51.000Z","A9","0.2"
"2021-09-15T16:49:51.000Z","B1","1.182"
"2021-09-15T16:49:51.000Z","B10","0.211"
"2021-09-15T16:49:51.000Z","B11","0.188"
"2021-09-15T16:49:51.000Z","B12","0.213"
"2021-09-15T16:49:51.000Z","B2","1.186"
"2021-09-15T16:49:51.000Z","B3","1.133"
"2021-09-15T16:49:51.000Z","B4","1.136"
"2021-09-15T16:49:51.000Z","B5","1.117"
"2021-09-15T16:49:51.000Z","B6","1.225"
"2021-09-15T16:49:51.000Z","B7","0.22"
"2021-09-15T16:49:51.000Z","B8","0.205"
"2021-09-15T16:49:51.000Z","B9","0.193"
"2021-09-15T16:49:51.000Z","C1","1.12"
"2021-09-15T16:49:51.000Z","C10","0.197"
"2021-09-15T16:49:51.000Z","C11","0.188"
"2021-09-15T16:49:51.000Z","C12","0.215"
