"time","Presens_data.pH_value","position"
"2021-10-14T15:23:45.000Z","7.01","0"
"2021-10-14T15:23:45.000Z","6.97","1"
"2021-10-14T15:23:45.000Z","6.9","10"
"2021-10-14T15:23:45.000Z","6.85","11"
"2021-10-14T15:23:45.000Z","6.89","12"
"2021-10-14T15:23:45.000Z","6.88","13"
"2021-10-14T15:23:45.000Z","6.96","14"
"2021-10-14T15:23:45.000Z","6.99","15"
"2021-10-14T15:23:45.000Z","6.87","16"
"2021-10-14T15:23:45.000Z","6.88","17"
"2021-10-14T15:23:45.000Z","6.97","18"
"2021-10-14T15:23:45.000Z","6.97","19"
"2021-10-14T15:23:45.000Z","6.95","2"
"2021-10-14T15:23:45.000Z","6.91","20"
"2021-10-14T15:23:45.000Z","6.93","21"
"2021-10-14T15:23:45.000Z","6.99","22"
"2021-10-14T15:23:45.000Z","7","23"
"2021-10-14T15:23:45.000Z","6.94","24"
"2021-10-14T15:23:45.000Z","6.8","25"
"2021-10-14T15:23:45.000Z","6.88","26"
"2021-10-14T15:23:45.000Z","6.95","27"
"2021-10-14T15:23:45.000Z","6.92","28"
"2021-10-14T15:23:45.000Z","6.93","29"
"2021-10-14T15:23:45.000Z","6.96","3"
"2021-10-14T15:23:45.000Z","6.97","30"
"2021-10-14T15:23:45.000Z","6.91","31"
"2021-10-14T15:23:45.000Z","6.89","32"
"2021-10-14T15:23:45.000Z","7.02","33"
"2021-10-14T15:23:45.000Z","6.87","34"
"2021-10-14T15:23:45.000Z","6.9","35"
"2021-10-14T15:23:45.000Z","6.88","36"
"2021-10-14T15:23:45.000Z","7","37"
"2021-10-14T15:23:45.000Z","6.89","38"
"2021-10-14T15:23:45.000Z","6.89","39"
"2021-10-14T15:23:45.000Z","6.92","4"
"2021-10-14T15:23:45.000Z","6.85","40"
"2021-10-14T15:23:45.000Z","6.55","41"
"2021-10-14T15:23:45.000Z","6.54","42"
"2021-10-14T15:23:45.000Z","6.74","43"
"2021-10-14T15:23:45.000Z","6.87","44"
"2021-10-14T15:23:45.000Z","6.64","45"
"2021-10-14T15:23:45.000Z","6.63","46"
"2021-10-14T15:23:45.000Z","6.76","47"
"2021-10-14T15:23:45.000Z","6.91","5"
"2021-10-14T15:23:45.000Z","6.9","6"
"2021-10-14T15:23:45.000Z","6.95","7"
"2021-10-14T15:23:45.000Z","6.87","8"
"2021-10-14T15:23:45.000Z","6.95","9"
"2021-10-14T15:24:30.000Z","7.02","0"
"2021-10-14T15:24:30.000Z","6.98","1"
"2021-10-14T15:24:30.000Z","6.91","10"
"2021-10-14T15:24:30.000Z","6.87","11"
"2021-10-14T15:24:30.000Z","6.9","12"
"2021-10-14T15:24:30.000Z","6.89","13"
"2021-10-14T15:24:30.000Z","6.98","14"
"2021-10-14T15:24:30.000Z","7","15"
"2021-10-14T15:24:30.000Z","6.88","16"
"2021-10-14T15:24:30.000Z","6.89","17"
"2021-10-14T15:24:30.000Z","6.98","18"
"2021-10-14T15:24:30.000Z","6.98","19"
"2021-10-14T15:24:30.000Z","6.96","2"
"2021-10-14T15:24:30.000Z","6.92","20"
"2021-10-14T15:24:30.000Z","6.95","21"
"2021-10-14T15:24:30.000Z","7","22"
"2021-10-14T15:24:30.000Z","7.01","23"
"2021-10-14T15:24:30.000Z","6.96","24"
"2021-10-14T15:24:30.000Z","6.83","25"
